ID,Parolee ID,Facility ID,Added By,Priority,Notes,Created At
65,IDOC-20058,19,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.433671+00:00
66,IDOC-20059,20,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.440044+00:00
67,IDOC-20060,21,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.458892+00:00
68,IDOC-20061,22,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.481536+00:00
69,IDOC-20062,23,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.510674+00:00
70,IDOC-20063,1,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.520970+00:00
71,IDOC-20064,2,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.530393+00:00
72,IDOC-20065,3,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.540252+00:00
73,IDOC-20066,4,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.549759+00:00
74,IDOC-20067,5,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.569382+00:00
75,IDOC-20068,6,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.591574+00:00
76,IDOC-20069,7,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.597773+00:00
77,IDOC-20070,8,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.620713+00:00
78,IDOC-20071,9,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.640582+00:00
79,IDOC-20072,10,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.657009+00:00
80,IDOC-20073,11,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.665272+00:00
81,IDOC-20074,12,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.699770+00:00
82,IDOC-20075,13,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.708518+00:00
83,IDOC-20076,14,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.729068+00:00
84,IDOC-20077,15,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.748425+00:00
85,IDOC-20078,16,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.776994+00:00
86,IDOC-20079,17,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.818289+00:00
87,IDOC-20080,18,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.848009+00:00
88,IDOC-20081,19,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.932723+00:00
89,IDOC-20082,20,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.039466+00:00
90,IDOC-20083,21,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.062062+00:00
91,IDOC-20084,22,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.327096+00:00
92,IDOC-20085,23,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.380426+00:00
93,IDOC-20086,1,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.477207+00:00
94,IDOC-20087,2,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.583999+00:00
95,IDOC-20088,3,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.629308+00:00
96,IDOC-20089,4,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.648501+00:00
97,IDOC-20090,5,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.678891+00:00
98,IDOC-20091,6,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.705675+00:00
99,IDOC-20092,7,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.738769+00:00
100,IDOC-20093,8,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.786899+00:00
101,IDOC-20094,9,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.817462+00:00
102,IDOC-20095,10,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.832108+00:00
103,IDOC-20096,11,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.858219+00:00
104,IDOC-20097,12,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.911607+00:00
105,IDOC-20098,13,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.926707+00:00
106,IDOC-20099,14,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:51.985497+00:00
107,IDOC-20100,15,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.007188+00:00
108,IDOC-20101,16,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.017170+00:00
109,IDOC-20102,17,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.038904+00:00
110,IDOC-20103,18,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.045725+00:00
111,IDOC-20104,19,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.051701+00:00
112,IDOC-20105,20,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.065526+00:00
113,IDOC-20106,21,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.071093+00:00
114,IDOC-20107,22,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.092172+00:00
115,IDOC-20108,23,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.115858+00:00
116,IDOC-20109,1,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.122536+00:00
117,IDOC-20110,2,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.132857+00:00
118,IDOC-20111,3,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.152081+00:00
119,IDOC-20112,4,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.157697+00:00
120,IDOC-20113,5,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.162729+00:00
121,IDOC-20114,6,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:52.181040+00:00
